spayneuter,uniqueid,dateofbite,species,breed,age,gender,borough,zipcode
false,33,2018-01-23T00:00:00.000,DOG,MIXED,,F,Brooklyn,11225
false,34,2018-01-23T00:00:00.000,DOG,MIXED,,F,Brooklyn,11225
false,35,2018-01-23T00:00:00.000,DOG,Chihuahua,4,M,Brooklyn,11205
false,36,2018-01-15T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11208
false,37,2018-01-23T00:00:00.000,DOG,Yorkshire Terrier,,U,Brooklyn,11210
false,38,2018-01-24T00:00:00.000,DOG,Shih Tzu,,U,Brooklyn,11233
true,39,2018-01-28T00:00:00.000,DOG,Pug,8,M,Brooklyn,11223
false,40,2018-01-27T00:00:00.000,DOG,Maltese,,U,Brooklyn,11224
false,41,2018-01-28T00:00:00.000,DOG,Mixed/Other,,U,Brooklyn,11214
false,42,2018-01-29T00:00:00.000,DOG,Mixed/Other,7,F,Brooklyn,11232
false,43,2018-01-27T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11226
false,44,2018-01-28T00:00:00.000,DOG,MINATURE PINSCHER X,8,M,Brooklyn,11214
false,45,2018-02-01T00:00:00.000,DOG,TERRIER CROSS,4,M,Brooklyn,11233
false,46,2018-01-31T00:00:00.000,DOG,Shih Tzu,,U,Brooklyn,11215
false,47,2018-02-01T00:00:00.000,DOG,"Dachshund, Wirehaired, Miniature",10M,M,Brooklyn,
true,48,2018-01-29T00:00:00.000,DOG,AMERICAN STAFF X,3,M,Brooklyn,11201
false,49,2018-02-02T00:00:00.000,DOG,,,U,Brooklyn,11212
false,50,2018-02-05T00:00:00.000,DOG,Bichon Frise,,U,Brooklyn,11212
false,51,2018-02-05T00:00:00.000,DOG,German Shepherd,1,M,Brooklyn,11236
false,52,2018-01-31T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,
false,53,2018-02-04T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11201
false,54,2018-02-04T00:00:00.000,DOG,MIXED BREED,,U,Brooklyn,11211
false,55,2018-01-29T00:00:00.000,DOG,MIXED,5,M,Brooklyn,11236
false,56,2018-01-21T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11207
false,57,2018-01-21T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11207
false,58,2018-02-09T00:00:00.000,DOG,Chihuahua,9M,M,Brooklyn,11233
false,59,2018-02-07T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,M,Brooklyn,11216
false,60,2018-02-13T00:00:00.000,DOG,MIXED BREED,,M,Brooklyn,11231
false,61,2018-02-05T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,Brooklyn,11234
false,62,2018-02-12T00:00:00.000,DOG,German Shepherd,3,M,Brooklyn,11235
false,63,2018-02-15T00:00:00.000,DOG,MIXED BREED,,U,Brooklyn,11215
true,64,2018-02-10T00:00:00.000,DOG,Labrador Retriever,5,M,Brooklyn,11239
false,65,2018-02-11T00:00:00.000,DOG,Rottweiler,,U,Brooklyn,
false,66,2018-02-16T00:00:00.000,DOG,SHIH TZU X,9,M,Brooklyn,11236
false,67,2018-02-14T00:00:00.000,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,M,Brooklyn,11216
false,68,2018-02-18T00:00:00.000,DOG,POMERANIAN MIX,8M,M,Brooklyn,
false,69,2018-02-19T00:00:00.000,DOG,Norfolk Terrier,,U,Brooklyn,11231
false,70,2018-02-20T00:00:00.000,DOG,BORDER COLLIE MIX,3,F,Brooklyn,11216
true,71,2018-02-16T00:00:00.000,DOG,Beagle Crossbreed,4,F,Brooklyn,11209
false,72,2018-02-19T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,Brooklyn,11212
true,73,2018-02-17T00:00:00.000,DOG,POODLE MIX,4,M,Brooklyn,11230
false,74,2018-02-11T00:00:00.000,DOG,UNCERTAIN,,U,Brooklyn,11220
true,75,2018-02-17T00:00:00.000,DOG,MIXED BREED,2,F,Brooklyn,11201
false,76,2018-02-21T00:00:00.000,DOG,,,U,Brooklyn,11231
true,77,2018-02-07T00:00:00.000,DOG,Labrador Retriever Crossbreed,4,F,Brooklyn,11219
true,78,2018-02-09T00:00:00.000,DOG,Chihuahua,7,M,Brooklyn,11214
false,79,2018-02-22T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,F,Brooklyn,11233
true,80,2018-02-24T00:00:00.000,DOG,Pit Bull,3,F,Brooklyn,11236
false,81,2018-02-25T00:00:00.000,DOG,Yorkshire Terrier,,F,Brooklyn,11234
false,82,2018-02-24T00:00:00.000,DOG,Rottweiler,,U,Brooklyn,11233
false,83,2018-02-25T00:00:00.000,DOG,Pit Bull,3,M,Brooklyn,11218
true,84,2018-02-26T00:00:00.000,DOG,MINI PINSCHER/POMERANIAN X,8,M,Brooklyn,11214
false,85,2018-02-27T00:00:00.000,DOG,Pit Bull,3,F,Brooklyn,11208
false,86,2018-02-26T00:00:00.000,DOG,"Poodle, Standard",5,F,Brooklyn,11220
false,87,2018-02-17T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11233
true,88,2018-02-26T00:00:00.000,DOG,Labradoodle,8,M,Brooklyn,11201
false,89,2018-03-04T00:00:00.000,DOG,UNCERTAIN,,U,Brooklyn,11206
true,90,2018-03-03T00:00:00.000,DOG,Australian Silky Terrier,6,M,Brooklyn,11208
false,91,2018-03-02T00:00:00.000,DOG,Cocker Spaniel,2,M,Brooklyn,11209
false,92,2018-03-04T00:00:00.000,DOG,Beagle Crossbreed,,U,Brooklyn,11215
true,93,2018-03-04T00:00:00.000,DOG,Siberian Husky,5,F,Brooklyn,11234
false,94,2018-03-05T00:00:00.000,DOG,MIXED BREED,3,M,Brooklyn,11225
true,95,2018-03-04T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,4,M,Brooklyn,
true,96,2018-02-28T00:00:00.000,DOG,SHEPHERD/POINTER X,1,M,Brooklyn,11209
false,97,2018-03-05T00:00:00.000,DOG,Boxer,,U,Brooklyn,11215
false,98,2018-03-06T00:00:00.000,DOG,Shih Tzu,,U,Brooklyn,
false,99,2018-03-06T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11220
true,100,2018-03-06T00:00:00.000,DOG,MIXED BREED,13,M,Brooklyn,11229
false,101,2018-03-03T00:00:00.000,DOG,TERRIER MIX,5,M,Brooklyn,11234
false,102,2018-02-21T00:00:00.000,DOG,German Shepherd,,U,Brooklyn,11219
false,103,2018-03-04T00:00:00.000,DOG,,,U,Brooklyn,11236
false,104,2018-02-22T00:00:00.000,DOG,UNCERTAIN,,U,Brooklyn,11212
true,105,2018-03-11T00:00:00.000,DOG,Pit Bull,2,F,Brooklyn,11234
false,106,2018-03-12T00:00:00.000,DOG,Siberian Husky,2,M,Brooklyn,11219
false,107,2018-03-11T00:00:00.000,DOG,Pit Bull,4M,F,Brooklyn,11231
false,108,2018-03-09T00:00:00.000,DOG,Labrador Retriever,10W,M,Brooklyn,11222
true,109,2018-03-15T00:00:00.000,DOG,Beagle,7,M,Brooklyn,11220
false,110,2018-03-17T00:00:00.000,DOG,Jack Russ,,U,Brooklyn,11229
true,111,2018-03-17T00:00:00.000,DOG,Rottweiler,4,M,Brooklyn,11206
true,112,2018-03-17T00:00:00.000,DOG,Labrador Retriever Crossbreed,2,M,Brooklyn,11223
false,113,2018-03-18T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,Brooklyn,11216
false,114,2018-03-18T00:00:00.000,DOG,MIXED BREED,11,F,Brooklyn,11211
false,115,2018-03-18T00:00:00.000,DOG,MIXED BREED,9,U,Brooklyn,11208
false,116,2018-03-17T00:00:00.000,DOG,MIXED BREED,2,F,Brooklyn,11203
true,117,2018-03-11T00:00:00.000,DOG,MIXED BREED,6,F,Brooklyn,11206
false,118,2018-03-20T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11209
false,119,2018-03-22T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11215
false,120,2018-03-17T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11238
false,121,2018-03-21T00:00:00.000,DOG,Maltese,7-8M,F,Brooklyn,11216
false,122,2018-03-11T00:00:00.000,DOG,Lhasa Apso,1,M,Brooklyn,11226
true,123,2018-03-26T00:00:00.000,DOG,CORGI-CHIHUAHUA X,11,M,Brooklyn,11225
false,124,2018-03-22T00:00:00.000,DOG,Puggle,9,M,Brooklyn,11204
true,125,2018-03-25T00:00:00.000,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,M,Brooklyn,11215
true,126,2018-03-23T00:00:00.000,DOG,MIXED BREED,8,M,Brooklyn,11218
false,127,2018-03-26T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11207
false,128,2018-03-27T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
false,129,2018-03-23T00:00:00.000,DOG,Shih Tzu,13,F,Brooklyn,11209
false,130,2018-03-27T00:00:00.000,DOG,Bichon Frise,,U,Brooklyn,
false,131,2018-03-26T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11207
false,132,2018-03-23T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,
false,133,2018-03-25T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
true,134,2018-03-28T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,Brooklyn,11221
false,135,2018-03-29T00:00:00.000,DOG,Shih Tzu,2,F,Brooklyn,11237
false,136,2018-03-30T00:00:00.000,DOG,BICHON / POODLE MIX,11,M,Brooklyn,11226
false,137,2018-04-01T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
true,138,2018-03-31T00:00:00.000,DOG,Maltese,11,M,Brooklyn,11215
false,139,2018-04-04T00:00:00.000,DOG,MIXED BREED,4,F,Brooklyn,11208
false,140,2018-03-31T00:00:00.000,DOG,MALTESE/ SHIH TZU X,3,M,Brooklyn,11234
false,141,2018-03-31T00:00:00.000,DOG,SIBERIAN HUSKY X,4,M,Brooklyn,11214
false,142,2018-04-04T00:00:00.000,DOG,MIXED BREED,10,M,Brooklyn,11207
false,143,2018-04-04T00:00:00.000,DOG,MIXED BREED,10,M,Brooklyn,11207
false,144,2018-04-03T00:00:00.000,DOG,MIXED BREED,3,M,Brooklyn,11237
false,145,2018-04-04T00:00:00.000,DOG,MIXED BREED,3,M,Brooklyn,11237
false,146,2018-03-29T00:00:00.000,DOG,MIXED BREED,4,M,Brooklyn,11216
false,147,2018-04-04T00:00:00.000,DOG,MIXED BREED,4,M,Brooklyn,11216
false,148,2018-04-08T00:00:00.000,DOG,MIXED BREED,2,M,Brooklyn,11249
false,149,2018-04-08T00:00:00.000,DOG,MIXED BREED,2,M,Brooklyn,11249
false,150,2018-04-07T00:00:00.000,DOG,Akita,4,M,Brooklyn,11207
false,151,2018-04-08T00:00:00.000,DOG,SHIH TZU X,3,M,Brooklyn,
true,152,2018-04-08T00:00:00.000,DOG,RAT TERRIER MIX,1,U,Brooklyn,11211
true,153,2018-04-09T00:00:00.000,DOG,BOSTON TERRIER/CHIHUAHUA,6,F,Brooklyn,11201
true,154,2018-04-09T00:00:00.000,DOG,German Shepherd Crossbreed,3,M,Brooklyn,11221
false,155,2018-03-31T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11218
false,156,2018-04-07T00:00:00.000,DOG,SHEPERD,,U,Brooklyn,
true,157,2018-04-08T00:00:00.000,DOG,MIXED BREED,3,M,Brooklyn,11238
true,158,2018-04-09T00:00:00.000,DOG,Siberian Husky,1,M,Brooklyn,11238
true,159,2018-04-10T00:00:00.000,DOG,Shih Tzu,6,M,Brooklyn,
false,160,2018-04-10T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11236
true,161,2018-04-10T00:00:00.000,DOG,Maltese,10,F,Brooklyn,11223
true,162,2018-04-02T00:00:00.000,DOG,MIXED,6,F,Brooklyn,11218
false,163,2018-04-08T00:00:00.000,DOG,Yorkshire Terrier Crossbreed,6,M,Brooklyn,11221
false,164,2018-04-07T00:00:00.000,DOG,BORDER COLLIE X,,M,Brooklyn,
false,165,2018-04-07T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,1,M,Brooklyn,11230
false,166,2018-04-14T00:00:00.000,DOG,Cane Corso,9,F,Brooklyn,11234
true,167,2018-04-16T00:00:00.000,DOG,Dachshund Smooth Coat,12,F,Brooklyn,11249
true,168,2018-04-16T00:00:00.000,DOG,Rottweiler,2,M,Brooklyn,11208
false,169,2018-04-15T00:00:00.000,DOG,HOUND,,U,Brooklyn,11231
false,170,2018-04-12T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11217
true,171,2018-04-10T00:00:00.000,DOG,MALTESE/ SHIH TZU,1,M,Brooklyn,11201
false,172,2018-04-18T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11207
false,173,2018-04-18T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11236
false,174,2018-04-18T00:00:00.000,DOG,MIXED,2,M,Brooklyn,11236
false,175,2018-04-18T00:00:00.000,DOG,,,U,Brooklyn,
false,176,2018-04-19T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,Brooklyn,11206
false,177,2018-04-21T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,Brooklyn,11231
false,178,2018-04-23T00:00:00.000,DOG,Shih Tzu,7,M,Brooklyn,11229
false,179,2018-04-19T00:00:00.000,DOG,German Shepherd,,U,Brooklyn,11233
false,180,2018-04-23T00:00:00.000,DOG,MIXED,8,M,Brooklyn,11208
false,181,2018-04-21T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11220
false,182,2018-04-21T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11238
true,183,2018-04-23T00:00:00.000,DOG,German Shepherd,2,M,Brooklyn,11230
true,184,2018-04-24T00:00:00.000,DOG,German Shepherd Crossbreed,8,M,Brooklyn,11226
false,185,2018-04-24T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11209
false,186,2018-04-18T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11214
false,187,2018-04-23T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
false,188,2018-04-24T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11206
false,189,2018-04-24T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,
false,190,2018-04-18T00:00:00.000,DOG,Chihuahua,,U,Brooklyn,11221
false,191,2018-04-25T00:00:00.000,DOG,SHIH TZU X,,U,Brooklyn,11233
false,192,2018-04-26T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11238
true,193,2018-04-02T00:00:00.000,DOG,LHASA APSO/POODLE X,5,F,Brooklyn,11210
false,194,2018-04-29T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11233
false,195,2018-04-27T00:00:00.000,DOG,MIXED BREED,5,M,Brooklyn,11203
true,196,2018-04-25T00:00:00.000,DOG,ASIAN SHEPERD,2,M,Brooklyn,11204
true,197,2018-05-01T00:00:00.000,DOG,German Shepherd,9M,M,Brooklyn,11230
true,198,2018-04-29T00:00:00.000,DOG,MIXED,2,F,Brooklyn,11232
false,199,2018-05-01T00:00:00.000,DOG,MIXED,,U,Brooklyn,
false,200,2018-04-14T00:00:00.000,DOG,Mixed/Other,4,M,Brooklyn,
false,201,2018-05-01T00:00:00.000,DOG,Golden Retriever,1,M,Brooklyn,11230
false,202,2018-05-02T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,Brooklyn,11220
false,203,2018-05-02T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11213
true,204,2018-05-02T00:00:00.000,DOG,Labrador Retriever Crossbreed,5,M,Brooklyn,11222
false,205,2018-04-27T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11215
false,206,2018-05-03T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11234
false,207,2018-05-07T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,,M,Brooklyn,11224
false,208,2018-05-05T00:00:00.000,DOG,,,U,Brooklyn,11204
false,209,2018-05-05T00:00:00.000,DOG,UNKNOWN,,M,Brooklyn,11220
true,210,2018-05-04T00:00:00.000,DOG,Yorkshire Terrier,15,M,Brooklyn,11214
false,211,2018-05-07T00:00:00.000,DOG,PIT BULL/LAB X,8,F,Brooklyn,11203
false,212,2018-04-27T00:00:00.000,DOG,Shiba Inu,,M,Brooklyn,
false,213,2018-05-07T00:00:00.000,DOG,Yorkshire Terrier,1,F,Brooklyn,11207
false,214,2018-05-09T00:00:00.000,DOG,Bull dog,,U,Brooklyn,
false,215,2018-05-07T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11214
true,216,2018-05-08T00:00:00.000,DOG,Rottweiler,1,M,Brooklyn,11236
true,217,2018-05-01T00:00:00.000,DOG,German Shepherd Crossbreed,15,M,Brooklyn,11238
false,218,2018-03-04T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11206
false,219,2018-05-10T00:00:00.000,DOG,Siberian Husky,,U,Brooklyn,11205
false,220,2018-05-07T00:00:00.000,DOG,,,U,Brooklyn,
true,221,2018-05-09T00:00:00.000,DOG,AUSTRALIAN CATTLEDOG,6,F,Brooklyn,11226
false,222,2018-05-10T00:00:00.000,DOG,Yorkshire Terrier Crossbreed,7,F,Brooklyn,11205
false,223,2018-05-12T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,F,Brooklyn,11230
false,224,2018-05-12T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11221
true,225,2018-05-14T00:00:00.000,DOG,Beagle Crossbreed,4,M,Brooklyn,11225
true,226,2018-05-12T00:00:00.000,DOG,"Bull Dog, French",2,M,Brooklyn,11235
false,227,2018-05-15T00:00:00.000,DOG,MIXED BREED,8,M,Brooklyn,11208
false,228,2018-05-09T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11223
false,229,2018-05-14T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11210
false,230,2018-05-14T00:00:00.000,DOG,Great Dane,,U,Brooklyn,11213
false,231,2018-05-13T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11221
false,232,2018-04-17T00:00:00.000,DOG,Cane Corso,1,F,Brooklyn,11236
true,233,2018-05-17T00:00:00.000,DOG,Labrador Retriever Crossbreed,3,M,Brooklyn,11201
false,234,2018-05-18T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11213
false,235,2018-05-20T00:00:00.000,DOG,MIXED BREED,1,M,Brooklyn,11236
false,236,2018-05-19T00:00:00.000,DOG,SPANIEL,,U,Brooklyn,11218
false,237,2018-05-19T00:00:00.000,DOG,MIXED BREED,,U,Brooklyn,11226
false,238,2018-05-20T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,4,F,Brooklyn,11221
false,239,2018-05-18T00:00:00.000,DOG,HUSKY,,U,Brooklyn,11221
false,240,2018-05-22T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11213
false,241,2018-05-22T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11226
false,242,2018-05-20T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11212
false,243,2018-05-23T00:00:00.000,DOG,Cocker Spaniel,6,F,Brooklyn,11224
false,244,2018-05-23T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11208
true,245,2018-05-24T00:00:00.000,DOG,CHOW CHOW X,4,F,Brooklyn,11217
true,246,2018-05-24T00:00:00.000,DOG,CHOW CHOW X,4,F,Brooklyn,11217
false,247,2018-05-28T00:00:00.000,DOG,LARGE MIXED BREED,6,F,Brooklyn,11216
false,248,2018-05-20T00:00:00.000,DOG,MIXED,,U,Brooklyn,11220
false,249,2018-05-28T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,
false,250,2018-05-26T00:00:00.000,DOG,AMERICAN BULLY,1,M,Brooklyn,11208
false,251,2018-05-26T00:00:00.000,DOG,Shih Tzu,,U,Brooklyn,11221
false,252,2018-05-26T00:00:00.000,DOG,MIXED BREED,,F,Brooklyn,11213
false,253,2018-05-24T00:00:00.000,DOG,MIXED BREED,1,M,Brooklyn,11216
false,254,2018-05-27T00:00:00.000,DOG,Golden Retriever,8,F,Brooklyn,
false,255,2018-05-26T00:00:00.000,DOG,UNCERTAIN,,U,Brooklyn,
true,256,2018-05-24T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,5,M,Brooklyn,11212
false,257,2018-06-01T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,Brooklyn,11223
false,258,2018-06-02T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11221
false,259,2018-06-02T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
false,260,2018-06-02T00:00:00.000,DOG,Pit Bull,3,M,Brooklyn,11233
false,261,2018-06-05T00:00:00.000,DOG,Mixed/Other,,U,Brooklyn,11209
false,262,2018-06-01T00:00:00.000,DOG,ZUCHON,4,M,Brooklyn,11217
true,263,2018-06-01T00:00:00.000,DOG,HOUND,2,M,Brooklyn,
false,264,2018-06-02T00:00:00.000,DOG,,,U,Brooklyn,
true,265,2018-06-02T00:00:00.000,DOG,Dachshund Smooth Coat,11,M,Brooklyn,11236
false,266,2018-06-04T00:00:00.000,DOG,SMALL MIXED BREED,8,F,Brooklyn,11208
false,267,2018-06-04T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11222
false,268,2018-06-01T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11230
false,269,2018-05-25T00:00:00.000,DOG,Beagle Crossbreed,,U,Brooklyn,11223
true,270,2018-05-26T00:00:00.000,DOG,"Bull Dog, English",6,M,Brooklyn,11220
false,271,2018-05-25T00:00:00.000,DOG,MIXED,,U,Brooklyn,11222
false,272,2018-05-30T00:00:00.000,DOG,MEDIUM MIXED BREED,5,F,Brooklyn,11208
false,273,2018-06-08T00:00:00.000,DOG,MEDIUM MIXED BREED,3,M,Brooklyn,11208
false,274,2018-05-31T00:00:00.000,DOG,Boxer,,U,Brooklyn,11207
false,275,2018-05-26T00:00:00.000,DOG,Shih Tzu,2,M,Brooklyn,11204
false,276,2018-05-21T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11220
false,277,2018-05-30T00:00:00.000,DOG,Shih Tzu,,U,Brooklyn,11238
false,278,2018-06-06T00:00:00.000,DOG,Yorkshire Terrier Crossbreed,,U,Brooklyn,11234
false,279,2018-06-12T00:00:00.000,DOG,Pit Bull,3,M,Brooklyn,11231
false,280,2018-06-06T00:00:00.000,DOG,MALTESE BIGHON MIX WHITE,,U,Brooklyn,
true,281,2018-06-01T00:00:00.000,DOG,BORDER COLLIE MIX,6,M,Brooklyn,11217
false,282,2018-06-10T00:00:00.000,DOG,Yorkshire Terrier,,U,Brooklyn,11201
false,283,2018-06-02T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,,U,Brooklyn,11225
true,284,2018-06-14T00:00:00.000,DOG,TERRIER/MALTESE MIX,4,F,Brooklyn,11205
false,285,2018-06-07T00:00:00.000,DOG,"Poodle, Standard",,U,Brooklyn,11207
false,286,2018-05-31T00:00:00.000,DOG,Mixed/Other,,U,Brooklyn,11201
false,287,2018-06-09T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11205
false,288,2018-05-23T00:00:00.000,DOG,German Shepherd,4,M,Brooklyn,11234
false,289,2018-05-30T00:00:00.000,DOG,SHIH POO,2,F,Brooklyn,11203
false,290,2018-06-14T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11205
false,291,2018-06-14T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11205
false,292,2018-06-07T00:00:00.000,DOG,,,U,Brooklyn,
false,293,2018-06-09T00:00:00.000,DOG,Mixed/Other,5,F,Brooklyn,11238
false,294,2018-06-14T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11205
false,295,2018-06-10T00:00:00.000,DOG,,,U,Brooklyn,11234
false,296,2018-06-02T00:00:00.000,DOG,Maltese,6,F,Brooklyn,11224
false,297,2018-06-16T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11236
false,298,2018-06-04T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,,U,Brooklyn,11224
false,299,2018-06-12T00:00:00.000,DOG,MIXED BREED,,U,Brooklyn,11220
false,300,2018-06-10T00:00:00.000,DOG,Maltese,,M,Brooklyn,11206
false,301,2018-06-19T00:00:00.000,DOG,UNCERTAIN,,M,Brooklyn,11208
